timestamp	step	learning_rate
1661436770427	0	0.01
1661436783182	1	0.01
1661436799376	2	0.01
1661436814911	3	0.01
1661436830182	4	0.01
1661436845108	5	0.01
1661436860062	6	0.01
1661436875682	7	0.01
1661436891551	8	0.01
1661436907727	9	0.01
1661436923238	10	0.01
1661436938950	11	0.01
1661436954885	12	0.01
1661436970646	13	0.01
1661436985920	14	0.001
1661437001477	15	0.001
1661437017072	16	0.001
1661437031931	17	0.001
1661437047501	18	0.001
1661437062450	19	0.001
1661437077582	20	0.001
1661437092962	21	0.001
1661437108360	22	0.001
1661437123936	23	0.001
1661437139352	24	0.001
1661437154627	25	0.001
1661437170488	26	0.001
1661437185882	27	0.001
1661437201125	28	0.0001
1661437216173	29	0.0001
